relative_path	bytes	sha256	year	semester	module	subject	category	pdf_pages	pdf_error	audit_sample_chars	audit_sample_status
Year 1/Semester 101/FHB 101/Histology/06 EOM Exams/EOM - FINAL REVISION (Pr) FHB101 24.pdf	3142012	5f1087b43622a1285ea2d011bd808ab42992a7630b9790b8e8803a3831ef419b	Year 1	Semester 101	FHB 101	Histology	06 EOM Exams	56		293	sparse-text
Year 1/Semester 101/FHB 101/Histology/06 EOM Exams/EOM MCQs - Cytogenetics Final Revision Qs answer.pdf	3617672	137b732d2192915c54a3b9b3b9fa245e48f991cabfd1d88c4212e279837e1c9b	Year 1	Semester 101	FHB 101	Histology	06 EOM Exams	7		2	empty-text
Year 1/Semester 101/FHB 101/Histology/06 EOM Exams/EOM MCQs - FHB final revision 2025 Questions.pdf	15876588	c9acc5b2b0f555649cd344edf6f4c0faddacc97b30940f023f55c76693002983	Year 1	Semester 101	FHB 101	Histology	06 EOM Exams	101		2	empty-text
Year 1/Semester 101/FHB 101/Histology/06 EOM Exams/EOM MCQs - Histology 101 final written-1.pdf	195733	441ea28e2179fa0488d8afed03d595aae31e97087607c13d16c929fe0db62906	Year 1	Semester 101	FHB 101	Histology	06 EOM Exams	3		1800	substantive-text
Year 1/Semester 101/FHB 101/Histology/06 EOM Exams/EOM MCQs - Histology 101 final written.pdf	57379	14aca09deac964563bef09fe2f12b651db40c7d789bad98527d56f90d74f8668	Year 1	Semester 101	FHB 101	Histology	06 EOM Exams	2		1800	substantive-text
Year 1/Semester 101/FHB 101/Histology/06 EOM Exams/EOM MCQs - Training questions BMS 101 (final).pdf	265982	23248abb15aad2399e99a4cf7c5d0d0aca0070287efb5e24739a982b83c8fafa	Year 1	Semester 101	FHB 101	Histology	06 EOM Exams	5		1800	substantive-text
Year 1/Semester 101/FHB 101/Histology/06 EOM Exams/EOM MCQs - [Answers] SOLO MCQS - Final Histology.pdf	153385	2e869cc596ae375f593d7b899b2090c4bcb3ef4cd29e1fd4b68c01860de91a60	Year 1	Semester 101	FHB 101	Histology	06 EOM Exams	9		1800	audit-extract-failed
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/Cytology Clinical Applications - Mohamed Eissa.pdf	1808523	c87febba511ffa8db2f9ce53b9308edde620e6650c7464836fa7f46f9f65d2b4	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	7		0	audit-not-found
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/Cytology MCQ (Nucleus).pdf	368956	871ca5046ee04990d95ead25942884a31d840009afe4e76d77779e13d294e294	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	2		1800	substantive-text
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/Cytology MCQ Dr.Abdelwahab.pdf	11498870	a6de213a3876866fe421224a4c1ee0d9998f40beccb13d648b0f29fbfe9d303c	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	48		2	empty-text
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/FHB Histo MCQs Ziad Ashraf.pdf	270270	b39cd6a2feeba48546e1cf82b7d0b03b5a54d0cde43cbb719c343f081c889cad	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	14		1290	substantive-text
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/FHB Revision questions Fall 22-23 (Answers).pdf	957227	0f4c76704d3e67b1c7db6e1d5df55d183fa7352da07e628502b550f29b7303b3	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	18		766	substantive-text
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/Histo MCQ by Dr.Zahra [Cytology].pdf	729579	6846577508f49244d715afb12267b8b6db92ef5d9140be391919a040d2ba70de	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	27		1800	substantive-text
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/Histology (Cytology) MCQs.pdf	1614268	93cd4d818d9285c05ebed927fe56494f74b63226913616f1016c9bb03c4bd462	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	11		2	empty-text
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/Histology FHB MCQs.pdf	12030315	5a481cad54731aef1bb2f12273e62a9c7d0d8273803aff5fdc3168d90be7df4e	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	9		2	empty-text
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/Histology FHB Summary (by Shahd).pdf	26000316	e2d3f6426b89f38d130b179e138641cbb15690fae6ce53cead26c20d7fdb74fb	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	12		2	empty-text
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/Histology FHB101 Training Questions.pdf	94427	1f436a96117e21759285f2f2c549f37ad95d9939ed7068a5cff760baa43d562e	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	26		1238	substantive-text
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/Histology Lec 1 Notes (by Linah).pdf	1546597	cab8d5df30995d578656bdc05780f2cc655bfb6e7b17fd4997ba065d85188c6a	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	2		2	empty-text
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/Histology Lec 2 Notes (by Linah).pdf	3243243	fd4b6a9e5c415da313f81663e39a4c4d60127752cf4762fe6799deed68711115	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	3		2	empty-text
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/Histology Lec 2 Notes (online) (by Linah).pdf	3624494	168c6d4fa11fc30119b28a38b3f4f68e788c0e08dc37aef12ea13eb3fc1acdd3	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	4		2	empty-text
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/Histology Lec 3 Notes (by Linah).pdf	6722231	5582d9ca8f95ba200f9f2b6d68895ea51e2bd2b90be14158cbd1656542a7b5f2	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	3		2	empty-text
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/Histology Lec 3 Notes (online) (by Linah).pdf	1659113	0fe5b1851c266615f551142b2824cb46e38a9b7c0359be8f671f80f994deec4f	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	2		2	empty-text
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/Histology Lec 4 Notes (by Linah).pdf	740221	2dec835c8d017c992f906882435e68e992181cb41b5323df635c89f48d6f0098	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	1		1	empty-text
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/Histology Lec 4 Notes (online) (by Linah).pdf	3005834	c68736c35ed34dec3ef483924d9957651bb298972b81416df1a971d1f68c8141	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	2		2	empty-text
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/Histology Lec 5 Notes (by Linah).pdf	987759	f5d0b062bfdc1d03a7259d5ed345e3fff12ac80ecdf91b3a03d1bc1b97cc92dc	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	1		1	empty-text
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/Histology MCQ till Midterm by Absalam101.pdf	291653	4247d855313f6cdffdeaacb7cd2b12b2f7b33711d35c392720aaa8ceaedd6f93	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	59		1392	substantive-text
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/Histology Summary (by Mohamed).pdf	34036947	ae19d24e32de6833e7f42b1d1cb27518394af607bd75b618fa96c0f9c01364bc	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	25		45	sparse-text
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/Histology mid term notes (By Maii Mahmoud).pdf	8047842	685e671956525d3ba1c709981d9fe1f97920fc1929e6f2a28ca2fc7fdc5b1746	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	15		2	empty-text
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/Histology_Revision_Answers 2026.pdf	6559	c4bf2ad6ce516b135823e91d7b02814107a4822f7b35ca7e4e23eb76807b3452	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	4		1800	substantive-text
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/QUESTION ON CYTOLOGY by DR.KANDEEL.pdf	7451404	f23b50418ba1fb9d14494eda1db6c11f5e9d8c9d8e0e0bb4e97dae764b1d5333	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	21		2	empty-text
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/Stains.pdf	618173	19543c6669ea24693cf67555802a1d34a7330f621a05478a6af22d1abb938a16	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	2		0	audit-not-found
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/introduction and cytology mcq.pdf	403939	a44fb9d4295209c4722a348a02a865d9e18dacfcd75901dbaccc943c23a6a2ff	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	35		1528	substantive-text
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/solo mcqs histology.pdf	337182	22180a77cf8d4eb2d59d046ee1936efa544a79932b326cf554f9d343d73a34cd	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	18		1800	substantive-text
Year 1/Semester 101/FHB 101/Histology/08 Midterm Exams/شرح هيستولوجي FHB.pdf	20692101	0540c06021496251ac88d8d5c1b3b91388ae562e93969c8295cc669e909fca15	Year 1	Semester 101	FHB 101	Histology	08 Midterm Exams	38		0	audit-not-found
Year 1/Semester 101/FHB 101/Physiology/05 MCQs/MCQs - DOC-20251228-WA0243..pdf	2075916	d9a07518aecda26323373d582d437e0b854a0bcf083cf21a730ab0aa2e266f06	Year 1	Semester 101	FHB 101	Physiology	05 MCQs	15		2	empty-text
Year 1/Semester 101/FHB 101/Physiology/05 MCQs/MCQs - FHB FINAL.pdf	291743	28d4f5ec3791a9e54c086fa7c77614bd1f575b04ce655f3d8fd287b6980a1c97	Year 1	Semester 101	FHB 101	Physiology	05 MCQs	13		1800	substantive-text
Year 1/Semester 101/FHB 101/Physiology/05 MCQs/MCQs - FHB exam 101 2020_compressed-1.pdf	28802702	62143e16ae5d80b75313c51fbf850cbe6fe0223940abc2131ab130cb7cf337c8	Year 1	Semester 101	FHB 101	Physiology	05 MCQs	37		2	empty-text
Year 1/Semester 101/FHB 101/Physiology/05 MCQs/MCQs - FHB101 Exam 2026.pdf	768458	a87b09c5f33157263fb623fcfbc2eeb315f90633fdd1a5a8f9244a67c6313e95	Year 1	Semester 101	FHB 101	Physiology	05 MCQs	14		1800	substantive-text
Year 1/Semester 101/FHB 101/Physiology/05 MCQs/MCQs - Final Physiology MCQ Revision FHB101.pdf	318228	8c9858100455f46cdc85ee85b0719630703a458e164e71bdb80e8f7a1d01f89a	Year 1	Semester 101	FHB 101	Physiology	05 MCQs	14		1470	substantive-text
Year 1/Semester 101/FHB 101/Physiology/05 MCQs/MCQs - Important Ques physio.pdf	4935237	345d7475ddb0ac4653ec09742516bc8e4c76e697be3eea96cc578dd8a4a50f8b	Year 1	Semester 101	FHB 101	Physiology	05 MCQs	15		2	empty-text
Year 1/Semester 101/FHB 101/Physiology/05 MCQs/MCQs - Physio Written exercise questions.pdf	71058	bc12b680f19c703645cc26e0296cd5ab27b66d565c8480c0a07859842bee3d07	Year 1	Semester 101	FHB 101	Physiology	05 MCQs	3		1800	substantive-text
Year 1/Semester 101/FHB 101/Physiology/05 MCQs/MCQs - Physiology (Intro+Blood) MCQs.pdf	4454473	7be6cdf15892e27f1ee76f589d41ef072a3abf8f94d89b56e11782911da28380	Year 1	Semester 101	FHB 101	Physiology	05 MCQs	30		2	empty-text
Year 1/Semester 101/FHB 101/Physiology/05 MCQs/MCQs - Physiology MCQ.pdf	16691220	3617ee832b59ed14004cf501b2a502b27051b9b1d80ef5bdf3dd9bab4a7eff72	Year 1	Semester 101	FHB 101	Physiology	05 MCQs	110		2	empty-text
Year 1/Semester 101/FHB 101/Physiology/05 MCQs/MCQs - Physiology written.pdf	1846778	c8e53814c441fa19bcab20e99812075c163b53d9a8147a080927f81723da4438	Year 1	Semester 101	FHB 101	Physiology	05 MCQs	4		2	empty-text
Year 1/Semester 101/FHB 101/Physiology/05 MCQs/MCQs - [Answers] Blood Must.pdf	153694	d738a7058cf60ce6456496a9d92ff33842e5cfd27693963a85079a2615ce151d	Year 1	Semester 101	FHB 101	Physiology	05 MCQs	2		1800	audit-extract-failed
Year 1/Semester 101/FHB 101/Physiology/05 MCQs/MCQs - physiology ques 1.pdf	2112120	af3e920291b581bbc053205c0f42229a4cee595d7a1a086011b4dcaec2f19ee6	Year 1	Semester 101	FHB 101	Physiology	05 MCQs	15		2	empty-text
Year 1/Semester 101/FHB 101/Physiology/05 MCQs/MCQs - written exercise questions-2.pdf	176776	784b370995586c0c1adac303fff438cc0c6faad9897a678229dfe6b2d3beec80	Year 1	Semester 101	FHB 101	Physiology	05 MCQs	3		1800	substantive-text
Year 1/Semester 101/FHB 101/Physiology/06 EOM Exams/EOM - 10- (❌FINAL) WBCs.pdf	375651	492fc275403ca0435a94d678378c2c8d444248134d1a0621d7476952eab8db41	Year 1	Semester 101	FHB 101	Physiology	06 EOM Exams	20		128	sparse-text
Year 1/Semester 101/FHB 101/Physiology/06 EOM Exams/EOM MCQs - FHB FINAL QUESTIONS Answers.pdf	2989488	56137b8483844ab6aa52d12ee164beaac03207d97195414019bf70a4350dfeb4	Year 1	Semester 101	FHB 101	Physiology	06 EOM Exams	13		1800	substantive-text
Year 1/Semester 101/FHB 101/Physiology/06 EOM Exams/EOM MCQs - FHB revision (Final Fall 2023-2024) - answered (2).pdf	225090	349ca7a6f8d6fb2622384456c8ecc03a3b8088c1cd09b8fd58d41af4eaa8b54f	Year 1	Semester 101	FHB 101	Physiology	06 EOM Exams	10		1800	substantive-text
