program,version_label,academic_year,level,semester,module_code,module_title,row_type,subject_or_department,credits,weeks,marks,total_hours,source_id,source_url,access_date,confidence,notes
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 2","Semester 3","MED 204","vertical integration 3","module","","1","longitudinal","15","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 2","Semester 3","E 201","Faculty elective 3","module","","2","longitudinal","30","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 2","Semester 3","","Semester total","semester_total","","30","16","420","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 2","Semester 4","MED 205","Gastrointestinal system","module","","10.5","7","157.5","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 2","Semester 4","MED 206","CNS & Special Senses (1)","module","","7.5","5","112.5","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 2","Semester 4","MED 207","CNS & Special Senses (2)","module","","6","4","90","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 2","Semester 4","MED 208","Clinical skills","module","","3","longitudinal","45","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 2","Semester 4","MED 209","vertical integration 4","module","","1","longitudinal","15","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 2","Semester 4","E 201","Faculty elective 4","module","","2","longitudinal","30","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high","Source repeats E 201 for Faculty elective 3 and 4"
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 2","Semester 4","","Semester total","semester_total","","30","16","420","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 3","Semester 5","MED 301","Genitourinary","module","","10.5","7","157.5","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 3","Semester 5","MED 302","Endocrine","module","","7.5","5","112.5","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 3","Semester 5","MED 303","Commuinty","module","","6","4","90","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high","Source spelling retained"
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 3","Semester 5","MED 304","Research","module","","3","longitudinal","45","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 3","Semester 5","MED 305","vertical integration 5","module","","1","longitudinal","15","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high","Conflicts with S3 where MED 305 is printed beside Basic clinical Skills 3"
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 3","Semester 5","MED 306","Clinical skills","module","","3","longitudinal","45","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 3","Semester 5","","Semester total","semester_total","","31","16","465","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 3","Semester 6","MED 307","Child health module","module","","16.5","11","330","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 3","Semester 6","MED 308","Ophthalmology","module","","7.5","5","150","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 3","Semester 6","MED 309","vertical integration 6","module","","1","longitudinal","20","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high","S3 labels related row as Leadership and presentation skills"
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 3","Semester 6","MED 310","Basic life support","module","","2.5","longitudinal","50","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 3","Semester 6","E 301","Faculty elective 5","module","","1.5","longitudinal","30","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 3","Semester 6","","Semester total","semester_total","","29","16","550","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 4","Semester 7","MED 401","Medicine 1","module","","19.5","13","390","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 4","Semester 7","MED 402","Farensic","module","","7.5","5","150","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high","Source spelling retained; S3 identifies subject as Forensic and Clinical Toxicology"
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 4","Semester 7","MED 403","vertical integration7","module","","1","longitudinal","20","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high","S3 labels related row as Patient safety"
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 4","Semester 7","","Semester total","semester_total","","28","18","560","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 4","Semester 8","MED 404","Obstetrics and gynecology","module","","15","10","300","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 4","Semester 8","MED 405","Medicine 2","module","","12","8","240","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 4","Semester 8","MED 406","Ethical and legal issues in medical practice","module","","2","longitudinal","40","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 4","Semester 8","MED 407","vertical integration 8","module","","1","longitudinal","20","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high","S3 labels related row as Doctor patient communication"
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 4","Semester 8","","Semester total","semester_total","","30","18","600","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 5","Semester 9","MED 501","Surgery1","module","","18","12","360","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 5","Semester 9","MED 502","Surgery2","module","","12","8","240","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 5","Semester 9","MED 503","vertical integration 9","module","","1","longitudinal","20","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high","S3 labels related row as Field training"
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 5","Semester 9","MED 504","Research project","module","","2","extended longitudinal","40","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 5","Semester 9","","Semester total","semester_total","","33","20","660","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 5","Semester 10","MED 505","Medicine 3","module","","12","8","240","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 5","Semester 10","MED 506","Family Medicine","module","","6","4","120","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 5","Semester 10","MED 507","Emergency","module","","6","4","120","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 5","Semester 10","MED 508","ENT","module","","6","4","120","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 5","Semester 10","MED 509","Research project","module","","2","extended longitudinal","40","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 5","Semester 10","MED 501","vertical integration 10","module","","1","longitudinal","20","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high","Source repeats MED 501; S3 instead prints Med 510 Evidence"
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 5","Semester 10","","Semester total","semester_total","","33","20","660","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 1","Semester 1","MED101","Foundation 1","subject_component","Anatomy","4","","60","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 1","Semester 1","MED101","Foundation 1","subject_component","Histology","2","","30","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 1","Semester 1","MED101","Foundation 1","subject_component","Physiology","2","","30","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 1","Semester 1","MED101","Foundation 1","subject_component","Biochemistry","4","","60","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 1","Semester 1","MED102","Foundation 2","subject_component","Pathology","2.1","","31.5","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 1","Semester 1","MED102","Foundation 2","subject_component","Pharmacology","2.6","","39","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 1","Semester 1","MED102","Foundation 2","subject_component","Microbiology","3.4","","51","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 1","Semester 1","MED102","Foundation 2","subject_component","Parasitology","2.4","","36","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 1","Semester 1","MED 103","Communication Skills","subject_component","Family Medicine","1.5","","22.5","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high","S3 title differs from S1 vertical integration 1"
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 1","Semester 2","MED104","Musculoskeletal","subject_component","Anatomy","6","","90","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 1","Semester 2","MED104","Musculoskeletal","subject_component","Histology","2","","30","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 1","Semester 2","MED104","Musculoskeletal","subject_component","Physiology","1","","15","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 1","Semester 2","MED104","Musculoskeletal","subject_component","Biochemistry","2","","30","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 1","Semester 2","MED104","Musculoskeletal","subject_component","Pathology","1","","15","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 1","Semester 2","MED105","Cardiovascular","subject_component","Anatomy","2.6","","39","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 1","Semester 2","MED105","Cardiovascular","subject_component","Histology","1.1","","16.5","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 1","Semester 2","MED105","Cardiovascular","subject_component","Physiology","4.1","","61.5","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 1","Semester 2","MED105","Cardiovascular","subject_component","Pathology","2.1","","31.5","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 1","Semester 2","MED105","Cardiovascular","subject_component","Pharmacology","2.1","","31.5","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 1","Semester 2","MED 106","Medical Professionalism","subject_component","Family Medicine","3","","45","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 3","MED201","Respiratory","subject_component","Anatomy","1.5","","22.5","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 3","MED201","Respiratory","subject_component","Histology","1","","15","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 3","MED201","Respiratory","subject_component","Physiology","2","","30","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 3","MED201","Respiratory","subject_component","Biochemistry","3","","45","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 3","MED201","Respiratory","subject_component","Pathology","1.5","","22.5","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 3","MED201","Respiratory","subject_component","Microbiology","1","","15","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 3","MED201","Respiratory","subject_component","Pharmacology","2","","30","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 3","MED202","Blood&Lymph","subject_component","Histology","1.5","","22.5","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 3","MED202","Blood&Lymph","subject_component","Physiology","2","","30","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 3","MED202","Blood&Lymph","subject_component","Biochemistry","2","","30","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 3","MED202","Blood&Lymph","subject_component","Pathology","1","","15","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 3","MED202","Blood&Lymph","subject_component","Microbiology","2.5","","37.5","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 3","MED202","Blood&Lymph","subject_component","Pharmacology","1.5","","22.5","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 3","MED202","Blood&Lymph","subject_component","Parasitology","1.5","","22.5","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 3","MED203","Psychology","subject_component","Psychiatry or behavioral sciences","3","","45","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","medium","Arabic/OCR subject label is distorted"
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 3","MED 204","Basic clinical Skills","subject_component","Family Medicine","1","","15","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high","S3 title differs from S1 vertical integration 3"
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 4","MED 205","Gastrointestinal","subject_component","Anatomy","2.5","","37.5","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 4","MED 205","Gastrointestinal","subject_component","Histology","1.4","","21","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 4","MED 205","Gastrointestinal","subject_component","Physiology","1","","15","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 4","MED 205","Gastrointestinal","subject_component","Pathology","1.4","","21","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 4","MED 205","Gastrointestinal","subject_component","Microbiology","0.9","","13.5","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 4","MED 205","Gastrointestinal","subject_component","Pharmacology","1.4","","21","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 4","MED 205","Gastrointestinal","subject_component","Parasitology","1.9","","28.5","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Basic program brochure subject-component tables","2024-2025","Year 2","Semester 4","MED 206","CNS & Special Senses (1)","subject_component","Anatomy","3","","45","","S3","https://mu.menofia.edu.eg/med/View/168214/ar","2026-08-26","high",""
